nohup: ignoring input
INFO:root:Epoch 1/15
INFO:root:Batch Loss (Cross Entropy Loss): 0.1704 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.1002 | Categorical Accuracy: 1.0000
INFO:root:Batch Loss (Cross Entropy Loss): 0.3283 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.6705 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.1716 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.1372 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.3628 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 1.0211 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4921 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.1532 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 0.2752 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.3654 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.2300 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.1909 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.2149 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 0.4943 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.5053 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.2605 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 1.1458 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.1677 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 0.4815 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.2612 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.2522 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.2738 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.1047 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.1348 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4052 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4062 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.5313 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 1.0690 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.2523 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.5264 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.1713 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.2177 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.2103 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.4488 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.4973 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.1681 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.1991 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.2811 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4062 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.1627 | Categorical Accuracy: 1.0000
INFO:root:Batch Loss (Cross Entropy Loss): 0.6542 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.1849 | Categorical Accuracy: 0.9375
